City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
289,Sioux Lookout,CA,50.1001,-91.917,80.67,47,75,5.75,broken clouds
290,Methala,IN,10.2166,76.2166,75.2,94,99,4.16,overcast clouds
291,Esperance,AU,-33.8667,121.9,47.93,79,48,17.0,scattered clouds
292,Padang,ID,-0.9492,100.3543,73.45,84,62,4.68,broken clouds
293,Baracoa,CU,20.3467,-74.4958,81.05,82,29,11.12,scattered clouds
294,Khani,GE,41.9563,42.9566,63.97,84,21,4.07,few clouds
295,Muzhi,RU,65.3667,64.6667,47.82,82,6,5.95,clear sky
296,Port Alfred,ZA,-33.5906,26.891,56.05,68,72,17.05,broken clouds
297,Iracoubo,GF,5.4802,-53.2011,77.61,87,25,9.01,scattered clouds
298,Severo-Yeniseyskiy,RU,60.3725,93.0408,64.4,88,44,2.42,scattered clouds
299,Lukovetskiy,RU,64.2956,41.9211,54.25,98,69,3.53,broken clouds
300,Lethem,GY,3.3803,-59.7968,72.75,94,91,2.62,overcast clouds
301,Bima,ID,-8.4667,118.7167,77.94,73,41,5.73,scattered clouds
302,Nanning,CN,22.8167,108.3167,82.85,76,54,4.45,broken clouds
303,Cairns,AU,-16.9167,145.7667,79.07,80,75,6.91,broken clouds
304,Gandu,BR,-13.7439,-39.4867,67.32,100,10,2.06,clear sky
305,Bonneville,FR,46.0802,6.4073,67.84,66,3,4.29,clear sky
306,Bandar-E Lengeh,IR,26.5579,54.8807,87.91,79,100,4.61,overcast clouds
307,Innisfail,AU,-17.5333,146.0333,70.77,83,87,6.49,overcast clouds
308,Nyurba,RU,63.2842,118.3319,69.26,75,57,3.36,broken clouds
309,Chulym,RU,55.0997,80.9572,64.54,85,86,6.13,overcast clouds
310,Salalah,OM,17.0151,54.0924,75.29,94,75,5.75,broken clouds
311,Whitianga,NZ,-36.8333,175.7,52.16,76,35,18.19,scattered clouds
312,Namibe,AO,-15.1961,12.1522,61.05,90,61,5.88,broken clouds
313,Fallon,US,39.4735,-118.7774,105.67,5,40,9.22,scattered clouds
314,La Ronge,CA,55.1001,-105.2842,64.65,59,100,6.91,overcast clouds
315,Numan,NG,9.4667,12.0333,72.75,91,100,7.09,overcast clouds
316,Monterey,US,36.2505,-121.2516,92.17,32,16,12.17,few clouds
317,Kokstad,ZA,-30.5472,29.4241,48.9,92,95,1.97,light rain
318,Vaitape,PF,-16.5167,-151.75,78.93,71,2,21.94,light rain
319,Waw,SS,7.7029,27.9953,68.61,95,100,4.79,overcast clouds
320,Caiaponia,BR,-16.9567,-51.8103,71.98,38,38,1.95,scattered clouds
321,Nome,US,64.5011,-165.4064,64.17,51,0,11.5,clear sky
322,Rio Grande,BR,-32.035,-52.0986,44.71,71,0,4.45,clear sky
323,Caravelas,BR,-17.7125,-39.2481,72.7,93,2,4.97,clear sky
324,Eyl,SO,7.9803,49.8164,75.36,76,98,21.39,overcast clouds
325,Jalingo,NG,8.8833,11.3667,71.38,96,98,3.94,overcast clouds
326,Mao,ES,39.8885,4.2658,73.96,73,0,5.75,clear sky
327,Skoghall,SE,59.3232,13.4655,52.36,76,52,3.44,broken clouds
328,Illapel,CL,-31.6308,-71.1653,55.13,84,91,1.57,overcast clouds
329,Norman Wells,CA,65.282,-126.8329,68.04,42,40,11.5,scattered clouds
330,Redcliffe,AU,-27.2307,153.0973,65.26,72,75,3.44,broken clouds
331,Victoria Point,AU,-27.5833,153.3,66.81,74,100,1.99,overcast clouds
332,Raha,IN,26.2333,92.5167,77.59,94,97,2.13,overcast clouds
333,Manggar,ID,-2.8833,108.2667,80.33,83,95,6.76,overcast clouds
334,Airai,TL,-8.9266,125.4092,64.06,70,76,3.74,broken clouds
335,Tymovskoye,RU,50.8456,142.655,57.18,98,100,3.15,overcast clouds
336,Hudson Bay,CA,52.85,-102.3842,62.2,97,100,7.2,overcast clouds
337,Tautira,PF,-17.7333,-149.15,77.58,72,22,23.78,light rain
338,Jalu,LY,29.0331,21.5482,81.57,54,0,10.47,clear sky
339,Svelgen,NO,61.7685,5.2955,57.13,91,100,9.31,light rain
340,Zhigansk,RU,66.7697,123.3711,69.49,73,81,13.42,light rain
341,Whitecourt,CA,54.1502,-115.6855,76.24,53,20,6.91,few clouds
